date,t,p,humidity,precipitation,wind_dir,v_avg,v_max,cloudcover,visibility,weather_code
2015-01-05 15:00:00,2.9,1008.5,66,0.0,277,25.4,40.0,48,,1
2015-01-05 16:00:00,3.3,1008.8,58,0.0,274,19.9,38.5,14,,0
2015-01-05 17:00:00,3.4,1009.0,58,0.0,266,15.9,30.2,21,,1
2015-01-05 18:00:00,3.5,1009.2,59,0.0,263,15.2,25.6,19,,0
2015-01-05 19:00:00,3.6,1009.3,60,0.0,258,15.5,24.8,13,,0
2015-01-05 20:00:00,3.7,1009.9,60,0.0,254,16.1,25.6,9,,0
2015-01-05 21:00:00,3.9,1009.8,60,0.0,250,16.9,26.6,10,,0
2015-01-05 22:00:00,3.7,1010.1,58,0.0,250,16.9,25.9,19,,0
2015-01-05 23:00:00,3.8,1010.0,57,0.0,257,16.6,25.2,47,,1
2015-01-06 00:00:00,3.6,1010.1,63,0.0,272,17.3,25.2,52,,2
2015-01-06 01:00:00,2.9,1010.2,71,0.0,293,20.0,27.0,29,,1
2015-01-06 02:00:00,2.1,1009.8,77,0.0,306,20.6,27.7,74,,2
2015-01-06 03:00:00,1.6,1010.3,79,0.0,312,18.9,28.1,91,,3
2015-01-06 04:00:00,1.4,1010.4,79,0.0,318,15.5,26.3,98,,3
2015-01-06 05:00:00,1.2,1009.8,79,0.0,335,16.7,24.5,66,,2
2015-01-06 06:00:00,1.2,1009.0,81,0.0,348,19.8,27.0,100,,3
2015-01-06 07:00:00,1.2,1009.2,80,0.0,358,20.2,29.5,100,,3
2015-01-06 08:00:00,1.2,1009.7,75,0.0,14,18.2,29.5,100,,3
2015-01-06 09:00:00,1.3,1009.1,72,0.0,22,22.5,30.6,100,,3
2015-01-06 10:00:00,1.3,1008.7,71,0.0,23,25.5,38.5,100,,3
2015-01-06 11:00:00,1.3,1008.8,71,0.0,30,23.7,39.2,100,,3
2015-01-06 12:00:00,1.3,1008.3,74,0.0,28,26.1,39.2,100,,71
2015-01-06 13:00:00,1.1,1006.8,75,0.0,23,29.0,44.3,100,,71
2015-01-06 14:00:00,1.0,1007.3,75,0.0,19,28.6,45.7,100,,71
2015-01-06 15:00:00,0.9,1007.3,75,0.0,14,31.2,45.7,100,,71
2015-01-06 16:00:00,0.7,1006.7,75,0.2,13,34.7,49.3,100,,71
2015-01-06 17:00:00,0.7,1008.4,76,0.2,11,31.1,49.7,100,,71
2015-01-06 18:00:00,0.6,1008.6,79,0.2,11,31.9,48.6,100,,71
2015-01-06 19:00:00,0.7,1008.9,78,0.2,6,30.4,50.8,99,,71
2015-01-06 20:00:00,0.7,1009.7,79,0.1,3,30.7,49.7,100,,71
2015-01-06 21:00:00,0.8,1009.3,78,0.1,4,31.4,49.7,98,,71
2015-01-06 22:00:00,0.7,1009.7,77,0.0,5,31.4,47.9,99,,71
2015-01-06 23:00:00,0.6,1009.9,79,0.0,3,31.4,47.2,100,,71
2015-01-07 00:00:00,0.6,1010.3,78,0.2,5,32.2,48.2,99,,71
2015-01-07 01:00:00,0.3,1011.5,78,0.2,9,31.7,50.4,100,,71
2015-01-07 02:00:00,-0.0,1011.6,78,0.1,9,33.2,53.3,98,,71
2015-01-07 03:00:00,-0.4,1012.1,79,0.1,4,33.5,55.4,99,,71
2015-01-07 04:00:00,-0.8,1012.8,79,0.2,358,33.9,56.5,100,,71
2015-01-07 05:00:00,-1.1,1013.2,78,0.2,355,34.0,57.2,99,,71
2015-01-07 06:00:00,-1.6,1014.1,78,0.2,356,33.2,57.6,100,,71
2015-01-07 07:00:00,-2.1,1015.0,77,0.2,359,32.4,57.6,99,,71
2015-01-07 08:00:00,-2.6,1015.7,77,0.1,4,32.8,57.2,100,,71
2015-01-07 09:00:00,-3.1,1016.4,77,0.1,7,33.7,55.8,100,,71
2015-01-07 10:00:00,-3.2,1017.3,78,0.1,8,34.5,53.6,100,,71
2015-01-07 11:00:00,-3.8,1018.2,77,0.1,9,35.7,55.4,100,,71
2015-01-07 12:00:00,-4.3,1018.5,77,0.0,11,35.9,56.2,100,,71
2015-01-07 13:00:00,-4.8,1019.3,77,0.0,13,33.2,55.8,100,,71
2015-01-07 14:00:00,-5.3,1020.1,77,0.0,10,31.8,55.1,100,,71
2015-01-07 15:00:00,-5.6,1020.6,79,0.0,8,30.5,54.4,100,,71
2015-01-07 16:00:00,-5.6,1021.3,81,0.0,4,30.0,53.3,100,,71
2015-01-07 17:00:00,-5.9,1022.6,82,0.0,359,30.6,51.8,100,,71
2015-01-07 18:00:00,-6.2,1023.5,82,0.0,356,32.1,51.5,100,,71
2015-01-07 19:00:00,-6.6,1024.2,82,0.0,355,32.5,51.8,100,,71
2015-01-07 20:00:00,-7.5,1024.9,76,0.0,356,32.8,51.8,100,,71
2015-01-07 21:00:00,-7.8,1025.1,75,0.0,359,32.0,51.5,100,,71
2015-01-07 22:00:00,-8.2,1025.7,76,0.0,1,31.3,50.8,100,,71
2015-01-07 23:00:00,-7.9,1026.5,82,0.0,4,30.7,49.7,100,,71
2015-01-08 00:00:00,-8.8,1027.1,75,0.0,5,30.7,48.6,100,,71
2015-01-08 01:00:00,-8.4,1026.9,82,0.0,359,28.4,48.6,100,,71
2015-01-08 02:00:00,-9.2,1027.5,74,0.0,1,28.8,49.3,99,,71
2015-01-08 03:00:00,-8.6,1028.2,81,0.0,3,29.6,50.4,100,,71
2015-01-08 04:00:00,-9.4,1028.4,74,0.0,3,30.3,51.1,100,,71
2015-01-08 05:00:00,-8.8,1028.9,81,0.0,4,31.0,52.2,98,,71
2015-01-08 06:00:00,-9.6,1029.5,74,0.0,7,31.6,52.6,96,,71
2015-01-08 07:00:00,-9.0,1030.3,80,0.0,10,31.8,52.6,91,,71
2015-01-08 08:00:00,-9.8,1031.1,73,0.0,12,32.1,52.2,93,,71
2015-01-08 09:00:00,-9.2,1031.7,80,0.0,13,31.4,51.1,93,,71
2015-01-08 10:00:00,-9.7,1032.4,72,0.0,14,31.2,49.7,100,,71
2015-01-08 11:00:00,-9.1,1032.9,80,0.0,17,30.9,48.6,100,,71
2015-01-08 12:00:00,-9.8,1033.1,74,0.0,19,30.1,47.5,100,,71
2015-01-08 13:00:00,-9.3,1032.6,82,0.0,19,29.7,46.8,100,,71
2015-01-08 14:00:00,-9.8,1033.0,73,0.0,20,30.2,46.4,99,,71
2015-01-08 15:00:00,-9.1,1034.0,81,0.0,21,30.4,47.5,100,,3
2015-01-08 16:00:00,-9.5,1034.7,74,0.0,23,29.7,47.9,100,,3
2015-01-08 17:00:00,-8.8,1035.4,81,0.0,27,29.0,46.8,100,,3
2015-01-08 18:00:00,-9.3,1035.5,73,0.0,29,28.0,44.3,100,,3
2015-01-08 19:00:00,-8.8,1036.2,81,0.0,32,27.5,42.8,100,,3
2015-01-08 20:00:00,-9.6,1036.5,74,0.0,36,26.3,41.8,100,,3
2015-01-08 21:00:00,-9.1,1036.1,80,0.0,40,24.3,40.0,100,,3
2015-01-08 22:00:00,-10.1,1036.3,74,0.0,37,23.1,38.2,100,,3
2015-01-08 23:00:00,-9.5,1036.2,81,0.0,37,21.6,35.3,100,,3
2015-01-09 00:00:00,-10.2,1036.2,75,0.0,36,20.4,33.1,100,,3
2015-01-09 01:00:00,-10.2,1035.0,75,0.0,34,17.9,31.0,100,,3
2015-01-09 02:00:00,-10.2,1034.5,76,0.0,37,15.4,27.4,100,,3
2015-01-09 03:00:00,-10.1,1034.8,76,0.0,28,14.7,22.7,100,,3
2015-01-09 04:00:00,-9.8,1034.6,76,0.0,23,13.7,21.2,100,,3
2015-01-09 05:00:00,-9.5,1034.3,77,0.0,14,11.9,19.1,100,,3
2015-01-09 06:00:00,-9.0,1033.7,74,0.0,23,7.4,18.0,100,,3
2015-01-09 07:00:00,-8.8,1032.9,73,0.0,53,1.8,15.5,100,,3
2015-01-09 08:00:00,-8.4,1032.5,72,0.0,198,1.1,13.7,100,,3
2015-01-09 09:00:00,-7.8,1032.3,70,0.0,216,4.9,12.6,100,,3
2015-01-09 10:00:00,-7.2,1031.5,73,0.0,216,9.8,14.8,97,,3
2015-01-09 11:00:00,-5.4,1030.5,68,0.0,223,13.8,21.6,97,,3
2015-01-09 12:00:00,-3.7,1029.4,64,0.0,219,18.2,27.0,99,,3
2015-01-09 13:00:00,-1.8,1027.4,62,0.0,217,23.4,35.3,98,,3
2015-01-09 14:00:00,0.0,1025.7,61,0.0,221,28.8,41.8,99,,3
2015-01-09 15:00:00,1.1,1024.8,61,0.0,226,30.8,45.4,98,,3
2015-01-09 16:00:00,1.6,1023.8,61,0.0,224,31.1,46.1,98,,3
2015-01-09 17:00:00,1.9,1022.9,61,0.0,220,32.4,46.1,98,,3
2015-01-09 18:00:00,2.1,1022.2,63,0.0,219,34.3,47.9,100,,3
2015-01-09 19:00:00,2.4,1021.4,65,0.0,219,37.1,49.7,100,,3
2015-01-09 20:00:00,2.6,1020.4,68,0.0,218,39.2,52.2,99,,3
2015-01-09 21:00:00,2.8,1019.2,71,0.2,217,41.6,54.7,100,,51
2015-01-09 22:00:00,3.1,1017.9,73,0.3,215,42.9,64.8,100,,71
2015-01-09 23:00:00,3.4,1016.4,74,0.4,213,45.5,67.0,100,,71
2015-01-10 00:00:00,3.7,1015.5,76,0.3,215,46.5,69.1,100,,51
2015-01-10 01:00:00,3.9,1014.4,76,0.3,216,46.1,69.1,100,,51
2015-01-10 02:00:00,3.9,1013.9,80,0.5,220,43.2,68.0,100,,53
2015-01-10 03:00:00,3.7,1012.8,84,0.9,221,38.0,63.7,100,,53
2015-01-10 04:00:00,3.4,1012.0,86,0.9,220,32.4,54.0,100,,71
2015-01-10 05:00:00,3.7,1010.8,85,0.6,213,28.1,43.6,100,,53
2015-01-10 06:00:00,4.1,1009.7,83,0.3,209,25.9,34.9,100,,51
2015-01-10 07:00:00,4.4,1008.6,83,0.2,211,23.1,28.1,100,,51
2015-01-10 08:00:00,4.6,1007.6,85,0.2,213,24.0,28.1,100,,51
2015-01-10 09:00:00,4.9,1007.1,87,0.2,208,27.4,37.1,100,,51
2015-01-10 10:00:00,4.6,1006.5,88,0.4,200,35.0,48.6,99,,51
2015-01-10 11:00:00,4.6,1006.1,89,0.4,200,40.5,59.8,100,,51
2015-01-10 12:00:00,4.9,1005.2,85,0.3,200,41.1,61.9,100,,51
2015-01-10 13:00:00,5.1,1004.2,83,0.4,200,40.7,64.4,100,,51
2015-01-10 14:00:00,5.3,1003.4,82,0.5,205,41.2,64.1,100,,53
2015-01-10 15:00:00,5.2,1003.3,82,0.8,206,40.6,63.7,100,,53
2015-01-10 16:00:00,5.1,1003.8,84,0.8,204,39.0,60.5,100,,53
2015-01-10 17:00:00,5.1,1004.1,84,0.8,200,37.2,58.0,100,,53
2015-01-10 18:00:00,5.2,1004.7,84,0.9,198,35.9,54.7,100,,53
2015-01-10 19:00:00,5.4,1005.3,83,0.9,198,33.4,48.6,100,,53
2015-01-10 20:00:00,5.2,1005.9,84,0.6,206,27.5,39.2,100,,53
2015-01-10 21:00:00,4.1,1006.4,89,0.2,232,20.0,36.7,100,,51
2015-01-10 22:00:00,4.8,1007.0,87,0.2,279,20.1,37.1,99,,51
2015-01-10 23:00:00,3.4,1007.8,92,0.0,300,21.3,34.2,94,,3
2015-01-11 00:00:00,2.5,1008.5,92,0.0,299,20.1,32.0,85,,3
2015-01-11 01:00:00,2.5,1009.0,88,0.0,291,18.5,31.0,89,,3
2015-01-11 02:00:00,2.7,1009.0,85,0.0,266,14.8,29.2,95,,3
2015-01-11 03:00:00,3.2,1009.8,82,0.0,242,17.9,26.6,99,,3
2015-01-11 04:00:00,4.2,1009.3,79,0.0,235,22.0,31.3,100,,3
2015-01-11 05:00:00,5.2,1009.6,75,0.0,229,22.7,32.4,100,,3
2015-01-11 06:00:00,5.8,1009.4,76,0.0,224,23.2,34.2,100,,3
2015-01-11 07:00:00,6.3,1009.6,75,0.0,225,23.9,35.3,100,,3
2015-01-11 08:00:00,6.6,1009.1,74,0.0,224,26.2,37.1,100,,3
2015-01-11 09:00:00,6.8,1009.3,74,0.1,226,33.4,45.0,100,,51
2015-01-11 10:00:00,6.7,1009.0,76,0.4,222,39.8,57.2,100,,51
2015-01-11 11:00:00,6.8,1008.2,77,0.7,215,43.6,64.4,100,,53
2015-01-11 12:00:00,7.1,1007.5,83,1.8,215,44.2,67.3,100,,61
2015-01-11 13:00:00,7.1,1007.3,87,1.1,216,47.7,70.6,100,,55
2015-01-11 14:00:00,6.9,1007.2,87,0.5,216,44.3,70.6,100,,53
2015-01-11 15:00:00,7.0,1007.5,86,0.2,218,41.0,66.2,100,,51
2015-01-11 16:00:00,7.3,1008.1,87,0.2,217,35.5,61.6,99,,51
2015-01-11 17:00:00,7.4,1008.6,88,0.0,216,31.0,51.8,100,,3
2015-01-11 18:00:00,7.5,1009.2,89,0.0,217,26.5,42.8,99,,3
2015-01-11 19:00:00,7.6,1009.6,90,0.0,215,22.0,36.7,99,,3
2015-01-11 20:00:00,7.5,1010.1,91,0.0,209,18.5,31.3,99,,3
2015-01-11 21:00:00,7.5,1010.3,92,0.0,204,16.1,24.8,93,,3
2015-01-11 22:00:00,7.5,1010.2,93,0.0,193,14.8,22.3,100,,3
2015-01-11 23:00:00,7.6,1009.8,93,0.0,188,16.0,19.8,100,,3
2015-01-12 00:00:00,7.7,1009.8,93,0.0,200,17.2,23.4,100,,3
2015-01-12 01:00:00,7.7,1008.9,94,0.6,213,19.0,26.6,100,,53
2015-01-12 02:00:00,7.7,1007.0,93,0.4,200,21.1,33.5,100,,51
2015-01-12 03:00:00,7.8,1006.7,91,0.5,200,28.8,40.0,99,,53
2015-01-12 04:00:00,7.9,1005.0,89,0.5,199,36.1,52.2,100,,53
2015-01-12 05:00:00,8.0,1003.9,86,0.3,203,44.7,64.1,100,,51
2015-01-12 06:00:00,8.2,1003.8,83,0.3,208,46.9,68.0,100,,51
2015-01-12 07:00:00,8.3,1004.2,85,1.5,211,44.1,69.5,100,,61
2015-01-12 08:00:00,8.4,1004.0,84,1.2,217,33.4,68.0,100,,55
2015-01-12 09:00:00,8.7,1004.6,85,0.8,250,19.1,61.2,100,,53
2015-01-12 10:00:00,6.6,1005.5,95,1.0,325,19.4,60.8,100,,55
2015-01-12 11:00:00,3.6,1006.7,96,1.1,349,27.1,55.1,100,,71
2015-01-12 12:00:00,2.1,1008.1,97,1.2,341,29.4,42.8,100,,73
2015-01-12 13:00:00,1.8,1009.2,96,0.9,333,28.3,42.8,100,,73
2015-01-12 14:00:00,1.7,1010.6,94,0.6,326,25.2,41.0,100,,73
2015-01-12 15:00:00,1.7,1011.9,92,0.3,321,23.6,37.8,100,,71
2015-01-12 16:00:00,1.9,1013.0,90,0.1,317,19.4,36.0,99,,51
2015-01-12 17:00:00,2.2,1014.0,85,0.0,306,17.8,31.3,89,,3
2015-01-12 18:00:00,2.4,1015.4,84,0.0,297,19.3,29.2,88,,3
2015-01-12 19:00:00,2.6,1016.8,82,0.0,294,21.3,32.8,100,,3
2015-01-12 20:00:00,2.8,1017.8,81,0.0,292,21.3,33.5,100,,3
2015-01-12 21:00:00,3.0,1018.7,80,0.0,284,21.1,33.5,99,,3
2015-01-12 22:00:00,2.9,1019.7,79,0.0,284,22.3,32.8,98,,3
2015-01-12 23:00:00,2.7,1020.5,80,0.0,287,23.7,34.9,99,,3
2015-01-13 00:00:00,2.7,1021.5,79,0.0,282,23.6,35.6,100,,3
2015-01-13 01:00:00,2.8,1022.0,79,0.0,281,23.9,35.3,100,,3
2015-01-13 02:00:00,2.9,1022.9,79,0.0,276,23.2,34.2,99,,3
2015-01-13 03:00:00,3.0,1023.8,78,0.0,275,23.1,33.1,90,,3
2015-01-13 04:00:00,3.0,1024.7,78,0.0,280,23.4,33.1,51,,2
2015-01-13 05:00:00,2.8,1025.2,79,0.0,285,22.7,33.1,8,,0
2015-01-13 06:00:00,2.6,1026.1,80,0.0,285,20.9,32.4,0,,0
2015-01-13 07:00:00,2.4,1026.8,81,0.0,285,18.6,29.9,0,,0
2015-01-13 08:00:00,2.2,1027.1,82,0.0,282,16.9,27.0,0,,0
2015-01-13 09:00:00,2.2,1027.9,83,0.0,283,16.2,24.5,0,,0
2015-01-13 10:00:00,2.6,1028.6,81,0.0,277,15.6,25.9,0,,0
2015-01-13 11:00:00,3.2,1029.0,79,0.0,269,14.4,25.2,0,,0
2015-01-13 12:00:00,3.8,1028.7,77,0.0,259,13.6,23.8,0,,0
2015-01-13 13:00:00,4.4,1027.8,75,0.0,250,14.9,23.0,0,,0
2015-01-13 14:00:00,5.0,1028.0,73,0.0,249,13.9,19.1,0,,0
2015-01-13 15:00:00,5.4,1028.2,72,0.0,246,12.6,22.0,0,,0
2015-01-13 16:00:00,5.7,1028.2,70,0.0,238,11.0,21.2,0,,0
2015-01-13 17:00:00,5.6,1028.5,71,0.0,226,10.9,18.0,0,,0
2015-01-13 18:00:00,5.4,1028.6,72,0.0,216,11.6,16.2,0,,0
2015-01-13 19:00:00,5.3,1028.7,73,0.0,211,11.8,16.6,0,,0
2015-01-13 20:00:00,5.3,1028.7,72,0.0,208,13.0,16.9,0,,0
2015-01-13 21:00:00,5.4,1028.1,71,0.0,204,15.3,20.2,0,,0
2015-01-13 22:00:00,5.7,1027.8,70,0.0,201,18.1,25.2,0,,0
2015-01-13 23:00:00,5.9,1027.4,70,0.0,203,19.2,27.4,6,,0
2015-01-14 00:00:00,6.0,1027.4,71,0.0,210,18.7,27.7,21,,1
2015-01-14 01:00:00,6.0,1028.0,72,0.0,218,18.2,26.6,16,,0
2015-01-14 02:00:00,5.9,1027.3,73,0.0,223,16.3,24.5,5,,0
2015-01-14 03:00:00,5.8,1027.1,74,0.0,223,14.8,22.3,0,,0
2015-01-14 04:00:00,5.7,1026.8,76,0.0,223,13.2,21.2,0,,0
2015-01-14 05:00:00,5.6,1026.5,78,0.0,220,12.8,18.7,0,,0
2015-01-14 06:00:00,5.5,1026.5,78,0.0,219,12.5,17.3,6,,0
2015-01-14 07:00:00,5.4,1026.4,79,0.0,215,12.7,16.6,13,,0
2015-01-14 08:00:00,5.3,1026.1,79,0.0,210,12.9,16.2,23,,1
